	wrapperType	collectionType	artistId	collectionId	amgArtistId	artistName	collectionName	collectionCensoredName	artistViewUrl	collectionViewUrl	artworkUrl60	artworkUrl100	collectionPrice	collectionExplicitness	trackCount	copyright	country	currency	releaseDate	primaryGenreName
14	collection	Album	518462	198154274	52456.0	Louis Armstrong	The Hot Fives and Hot Sevens - Volume II	The Hot Fives and Hot Sevens - Volume II	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-hot-fives-and-hot-sevens-volume-ii/198154274?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Features/a0/39/18/dj.yzxzouhk.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Features/a0/39/18/dj.yzxzouhk.jpg/100x100bb.jpg	9.99	notExplicit	16	℗ Originally Released 1926, 1927 SONY BMG MUSIC ENTERTAINMENT	USA	USD	1988-08-30T07:00:00Z	Jazz
15	collection	Album	518462	1509083555	52456.0	Louis Armstrong	Gold	Gold	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/gold/1509083555?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/70/e4/9a/70e49a08-6295-fe83-c883-67e1b57a4c41/06UMGIM17463.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/70/e4/9a/70e49a08-6295-fe83-c883-67e1b57a4c41/06UMGIM17463.rgb.jpg/100x100bb.jpg	19.99	notExplicit	40	This Compilation ℗ 2006 UMG Recordings, Inc.	USA	USD	2006-09-19T07:00:00Z	Jazz
16	collection	Album	73568	1425173241	6503.0	Ella Fitzgerald & Louis Armstrong	Our Love Is Here To Stay: Ella & Louis Sing Gershwin	Our Love Is Here To Stay: Ella & Louis Sing Gershwin	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/our-love-is-here-to-stay-ella-louis-sing-gershwin/1425173241?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/a9/c5/80/a9c5805d-f570-9c5d-aab9-0db1f599c149/06UMGIM08156.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/a9/c5/80/a9c5805d-f570-9c5d-aab9-0db1f599c149/06UMGIM08156.rgb.jpg/100x100bb.jpg	9.99	notExplicit	16	A Verve Label Group release; This Compilation ℗ 1998 UMG Recordings, Inc.	USA	USD	1998-01-23T08:00:00Z	Jazz
17	collection	Album	1977275	1452574450	3112.0	Danny Kaye & Louis Armstrong	The Five Pennies (Original Motion Picture Soundtrack / Remastered 2004)	The Five Pennies (Original Motion Picture Soundtrack / Remastered 2004)	https://music.apple.com/us/artist/danny-kaye/1977275?uo=4	https://music.apple.com/us/album/the-five-pennies-original-motion-picture-soundtrack/1452574450?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/0a/84/16/0a84164d-868b-ec0b-4235-a7bb3587309d/00602498616901.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/0a/84/16/0a84164d-868b-ec0b-4235-a7bb3587309d/00602498616901.rgb.jpg/100x100bb.jpg	9.99	notExplicit	18	℗ 2004 Universal Classics Group, a Division of UMG Recordings Inc.	USA	USD	1959-01-01T08:00:00Z	Soundtrack
18	collection	Album	518462	1444127009	52456.0	Louis Armstrong	The Best of the Decca Years, Vol. 1 - The Singer	The Best of the Decca Years, Vol. 1 - The Singer	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-best-of-the-decca-years-vol-1-the-singer/1444127009?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/90/ec/f4/90ecf4e7-f321-6c4d-6c74-3900038a21a8/06UMGIM00892.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/90/ec/f4/90ecf4e7-f321-6c4d-6c74-3900038a21a8/06UMGIM00892.rgb.jpg/100x100bb.jpg	7.99	notExplicit	13	This Compilation ℗ 1989 UMG Recordings, Inc.	USA	USD	1989-01-01T08:00:00Z	Jazz
19	collection	Album	518462	185583127	52456.0	Louis Armstrong	Stardust	Stardust	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/stardust/185583127?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/ea/a4/4f/mzi.hgjrbnnn.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/ea/a4/4f/mzi.hgjrbnnn.jpg/100x100bb.jpg	9.99	notExplicit	16	℗ Originally released 1930, 1931, 1932 Sony Music Entertainment Inc.	USA	USD	1988-09-16T07:00:00Z	Jazz
20	collection	Album	518462	1445668547	52456.0	Louis Armstrong	Louis Armstrong: Highlights from His Decca Years (The Original Decca Recordings)	Louis Armstrong: Highlights from His Decca Years (The Original Decca Recordings)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-armstrong-highlights-from-his-decca-years-the/1445668547?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/4e/94/ba/4e94ba92-463f-b37e-37d9-9f543b9700c4/06UMGIM03781.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/4e/94/ba/4e94ba92-463f-b37e-37d9-9f543b9700c4/06UMGIM03781.rgb.jpg/100x100bb.jpg	16.99	notExplicit	36	This Compilation ℗ 1994 UMG Recordings, Inc.	USA	USD	1994-01-01T08:00:00Z	Jazz
21	collection	Album	518462	293785408	52456.0	Louis Armstrong	The Complete Hot Five and Hot Seven Recordings, Vol. 1	The Complete Hot Five and Hot Seven Recordings, Vol. 1	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-complete-hot-five-and-hot-seven-recordings-vol-1/293785408?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music5/v4/50/7c/fc/507cfcf4-6e01-bb97-b11d-4ca44b297365/dj.lclmweis.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music5/v4/50/7c/fc/507cfcf4-6e01-bb97-b11d-4ca44b297365/dj.lclmweis.jpg/100x100bb.jpg	9.99	notExplicit	20	℗ Originally Released 1925, 1926, (P) 2003 Sony Music Entertainment Inc.	USA	USD	2003-04-29T07:00:00Z	Jazz
22	collection	Album	518462	1744612374	52456.0	Louis Armstrong	Louis In London (Live At The BBC)	Louis In London (Live At The BBC)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-in-london-live-at-the-bbc/1744612374?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/ab/db/de/abdbde5b-05cb-d9f5-d0ae-e27f1f987b53/24UMGIM48565.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/ab/db/de/abdbde5b-05cb-d9f5-d0ae-e27f1f987b53/24UMGIM48565.rgb.jpg/100x100bb.jpg	11.99	notExplicit	13	A Verve Records release; ℗ 2024 BBC, under license to Verve Label Group, a division of UMG Recordings, Inc.	USA	USD	2024-07-12T07:00:00Z	Jazz
23	collection	Album	518462	203794047	52456.0	Louis Armstrong & The Louis Armstrong Orchestra	Love Songs	Love Songs	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/love-songs/203794047?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/5d/bd/2a/mzi.jiesygla.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/5d/bd/2a/mzi.jiesygla.jpg/100x100bb.jpg	9.99	notExplicit	15	℗ Originally Released 1930, 1953, 1955, 1962, 1967, 1982/ (P) 2000 SONY BMG MUSIC ENTERTAINMENT	USA	USD	2000-01-01T08:00:00Z	Jazz
